Pour |k = 1| précision de |16.25%| Pourcentage de |0.8|
Pour |k = 2| précision de |87.50%| Pourcentage de |0.8|
Pour |k = 3| précision de |86.25%| Pourcentage de |0.8|
Pour |k = 4| précision de |91.88%| Pourcentage de |0.8|
Pour |k = 5| précision de |91.25%| Pourcentage de |0.8|
Pour |k = 6| précision de |91.25%| Pourcentage de |0.8|
Pour |k = 7| précision de |90.62%| Pourcentage de |0.8|
Pour |k = 8| précision de |90.62%| Pourcentage de |0.8|
Pour |k = 9| précision de |90.00%| Pourcentage de |0.8|
Pour |k = 10| précision de |90.00%| Pourcentage de |0.8|
Pour |k = 11| précision de |90.00%| Pourcentage de |0.8|
Pour |k = 12| précision de |90.00%| Pourcentage de |0.8|
Pour |k = 13| précision de |89.38%| Pourcentage de |0.8|
Pour |k = 14| précision de |88.75%| Pourcentage de |0.8|
Pour |k = 15| précision de |89.38%| Pourcentage de |0.8|
Pour |k = 16| précision de |89.38%| Pourcentage de |0.8|
Pour |k = 17| précision de |88.75%| Pourcentage de |0.8|
Pour |k = 18| précision de |87.50%| Pourcentage de |0.8|
Pour |k = 19| précision de |88.12%| Pourcentage de |0.8|
Pour |k = 20| précision de |87.50%| Pourcentage de |0.8|
Pour |k = 21| précision de |85.62%| Pourcentage de |0.8|
Pour |k = 22| précision de |85.62%| Pourcentage de |0.8|
Pour |k = 23| précision de |85.62%| Pourcentage de |0.8|
Pour |k = 24| précision de |86.25%| Pourcentage de |0.8|
Pour |k = 25| précision de |86.25%| Pourcentage de |0.8|
Pour |k = 26| précision de |86.25%| Pourcentage de |0.8|
Pour |k = 27| précision de |85.62%| Pourcentage de |0.8|
Pour |k = 28| précision de |85.62%| Pourcentage de |0.8|
Pour |k = 29| précision de |85.00%| Pourcentage de |0.8|
Pour |k = 30| précision de |86.25%| Pourcentage de |0.8|
