Pour |k = 1| précision de |16.19%|
Pour |k = 2| précision de |67.00%|
Pour |k = 3| précision de |61.64%|
Pour |k = 4| précision de |69.24%|
Pour |k = 5| précision de |67.50%|
Pour |k = 6| précision de |69.61%|
Pour |k = 7| précision de |68.00%|
Pour |k = 8| précision de |70.73%|
Pour |k = 9| précision de |69.99%|
Pour |k = 10| précision de |71.73%|
Pour |k = 11| précision de |71.61%|
Pour |k = 12| précision de |72.85%|
Pour |k = 13| précision de |71.73%|
Pour |k = 14| précision de |72.73%|
Pour |k = 15| précision de |71.73%|
Pour |k = 16| précision de |72.60%|
Pour |k = 17| précision de |72.23%|
Pour |k = 18| précision de |73.47%|
Pour |k = 19| précision de |72.23%|
Pour |k = 20| précision de |72.98%|
Pour |k = 21| précision de |71.86%|
Pour |k = 22| précision de |72.60%|
Pour |k = 23| précision de |71.36%|
Pour |k = 24| précision de |73.23%|
Pour |k = 25| précision de |72.35%|
Pour |k = 26| précision de |73.85%|
Pour |k = 27| précision de |73.47%|
Pour |k = 28| précision de |74.60%|
Pour |k = 29| précision de |73.60%|
Pour |k = 30| précision de |73.60%|
